,Exp,Model,Accuracy,Precision,Recall,F1
77,logs_resnet_256_557_test_4_dataset_val_unique_labels,Gen 6,0.492,0.4955036044858393,0.492,0.4791631916413306
68,logs_resnet_256_557_test_4_dataset_val,Gen 7,0.4771428571428571,0.4902795853124431,0.4771428571428572,0.4776519245177998
11,logs_resnet_128_705_test_2_dataset_val,Gen 4,0.4768571428571428,0.4964024436963382,0.4768571428571428,0.4751625671287949
31,logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 5,0.4834285714285714,0.4923801615594841,0.4834285714285715,0.474782730543866
24,logs_resnet_128_705_test_2_dataset_val_2,Gen 4,0.4794285714285714,0.47968756182923,0.4794285714285714,0.4705319774248019
82,logs_resnet_256_557_test_4_dataset_val_unique_labels_2,Gen 1,0.154,0.1236683379996702,0.154,0.1204936244436255
