Exp,Model,Accuracy,Precision,Recall,F1
logs_resnet_128_705_test_2_dataset_val_unique_labels,Gen 9,0.482,0.49732627184903977,0.48200000000000004,0.47245716004497024
logs_resnet_256_557_test_4_dataset_val,Real 0,0.4145714285714286,0.5064935974579282,0.41457142857142865,0.3608351585522917
logs_resnet_256_557_test_4_dataset_val,Real 1,0.41942857142857143,0.555425658558763,0.41942857142857143,0.37240996274701504
logs_resnet_256_557_test_4_dataset_val,Real 2,0.448,0.5924959195502891,0.448,0.40255462729859204
logs_resnet_256_557_test_4_dataset_val,Real 3,0.49742857142857144,0.5787850093377968,0.4974285714285714,0.4664267469009928
logs_resnet_256_557_test_4_dataset_val,Real 4,0.5497142857142857,0.5846881350500167,0.5497142857142857,0.5376780403900117
logs_resnet_256_557_test_4_dataset_val,Real 5,0.5331428571428571,0.6122444430902936,0.5331428571428571,0.504195699533606
logs_resnet_256_557_test_4_dataset_val,Real 6,0.54,0.6175803317113245,0.54,0.5182480995867932
logs_resnet_256_557_test_4_dataset_val,Real 7,0.5288571428571428,0.6006667802975272,0.5288571428571429,0.5149320423053096
logs_resnet_256_557_test_4_dataset_val,Real 8,0.5357142857142857,0.6178745806248357,0.5357142857142857,0.5174864906114724
logs_resnet_256_557_test_4_dataset_val,Real 9,0.54,0.6018067566667743,0.5399999999999999,0.5248335432849408
logs_resnet_256_557_test_4_dataset_val,Gen 0,0.442,0.45132943946526416,0.44200000000000006,0.4316790430631667
logs_resnet_256_557_test_4_dataset_val,Gen 1,0.4682857142857143,0.4783149534894946,0.4682857142857143,0.46338221931278784
logs_resnet_256_557_test_4_dataset_val,Gen 2,0.4665714285714286,0.4889638821007856,0.4665714285714286,0.4700625724423209
logs_resnet_256_557_test_4_dataset_val,Gen 3,0.45257142857142857,0.48301292253959865,0.4525714285714285,0.44462429433560596
logs_resnet_256_557_test_4_dataset_val,Gen 4,0.4657142857142857,0.4910182144993115,0.46571428571428575,0.4611241430424626
logs_resnet_256_557_test_4_dataset_val,Gen 5,0.45971428571428574,0.5034129536934715,0.4597142857142858,0.4581381781547849
logs_resnet_256_557_test_4_dataset_val,Gen 6,0.4762857142857143,0.4962342556986283,0.47628571428571426,0.47541704398889867
logs_resnet_256_557_test_4_dataset_val,Gen 7,0.47714285714285715,0.4902795853124431,0.4771428571428572,0.47765192451779986
logs_resnet_256_557_test_4_dataset_val,Gen 8,0.4734285714285714,0.48209751992570554,0.4734285714285715,0.4689342066127871
logs_resnet_256_557_test_4_dataset_val,Gen 9,0.48114285714285715,0.4858965118927255,0.48114285714285715,0.46926735964114374
